,video_id,video_views,video_likes,video_comments,video_duration
143,RooPUlufQFw,858456,11574,525,PT9M23S
144,OHUO91jIrBE,347819,6196,171,PT4M36S
145,PcNRQKRJX1E,2547453,54839,3143,PT11M13S
146,HIXwTGd3nwA,233214,8002,480,PT53S
147,nd84yF7anp0,390274,5884,283,PT8M51S
148,c5ekz15RUZE,403303,10807,431,PT7M49S
149,P575U7u4X9g,205256,3253,83,PT4M26S
150,7eCw3ykU4Lo,627439,12876,378,PT6M15S
151,lvhDoDqRnlc,2179303,48964,3284,PT10M25S
152,NdjXH_3wV54,174325,6150,245,PT55S
153,QkrfkbyV6k0,190448,2989,174,PT4M49S
154,NLaFy62_r9k,294982,4505,362,PT9M6S
155,EM-wMHRN1uk,767570,17416,528,PT6M21S
156,6tQjsSQNaB4,449112,5291,253,PT7M41S
157,kmAKZFPpbOU,1617797,41226,1916,PT10M37S
158,Be5d0MOSR7M,150839,3767,302,PT56S
159,xKam95Hu_HI,261374,6217,486,PT9M5S
160,3AuQUZ0xfwo,394663,9541,586,PT4M50S
161,1pQVshDcE28,774374,14709,554,PT7M16S
162,1ZhGNt9SOHc,489328,12608,432,PT5M59S
163,7EOHu_r8VoU,1907215,47048,3921,PT10M54S
164,rkIKEJPAUzM,620767,16872,2536,PT56S
165,29ZK5SLWCHw,199111,3882,199,PT2M50S
166,ul5zMF3ZPaY,68504,1881,133,PT5M9S
167,ZoM6UuMK5KM,313250,5027,232,PT3M20S
168,OuozWB6nlfE,913046,18501,1050,PT6M13S
169,HtvxLMjrl9A,99042,4140,394,PT3M51S
170,9ZT9eIUbQLE,482097,8025,437,PT8M8S
171,6PwsPzJPYtk,495395,6515,320,PT5M4S
172,zDjajIF3wts,2043298,45982,3199,PT11M22S
173,yI0htF7DYjA,122569,2846,70,PT50S
174,txJZea5WXHg,421694,15401,498,PT4M30S
175,9D2-LsFUIPI,372621,12651,446,PT3M28S
176,6OO6YC9vIYY,753659,28034,1082,PT7M21S
177,O93omtrnFy0,1317187,50898,2899,PT11M12S
178,urCXgrQZPnA,2159145,54947,5933,PT11M38S
179,Mx_jiQwUiYU,309378,9674,1823,PT1M18S
180,i-kbXg6FIz4,692501,14047,637,PT8M28S
181,d7yJiygGK6Q,314595,4074,187,PT6M1S
182,CfLR07CrUp8,171658,3004,129,PT4M5S
183,CR115pxSjWM,432948,15341,831,PT4M59S
184,03-0tBH1eEY,845414,17587,522,PT5M45S
185,b3y_iIgtGhU,1875193,38864,1919,PT9M3S
186,iew9L_WqOac,208803,6363,505,PT6M40S
187,aOmLU6iXmMY,216165,5964,339,PT1M15S
188,y_7sh90cK4U,386894,6805,296,PT6M52S
189,tYBI0va-DX4,186370,4134,334,PT2M4S
190,f274tLL9SuI,486297,19377,499,PT4M6S
191,M2zZAshSRz8,406051,9635,595,PT9M47S
192,Eo7Xxn4UiWc,294800,4729,228,PT4M40S
193,yRwFgZSiDUc,2041955,48472,4765,PT10M43S
194,r88Tq1syd3w,124941,4251,176,PT1M1S
195,VcjGf474WA4,112496,1603,150,PT2M55S
196,3HDV4Y3x0-U,23719,394,122,PT4M31S
197,D5d2IZbyWp4,723826,13793,725,PT6M55S
198,yTC9J7beCi0,443505,6569,217,PT7M59S
199,h1sHkKILPMs,426081,6660,382,PT7M40S
200,gr4GY93HSz0,321259,4989,156,PT4M38S
201,IVDL9aSqywo,1846551,43003,4496,PT10M56S
202,cENZn2cXZ3E,155871,4853,627,PT1M24S
203,N3tPqhraa6o,273769,4807,231,PT5M3S
204,I_PFcsU689s,289008,6127,481,PT8M14S
205,Er46DG2nOt4,171829,3461,206,PT8M5S
206,BQ0hNzHLEgs,321900,8004,420,PT6M31S
207,UghPiyQV2bw,1633580,42052,3883,PT9M34S
208,-GJcfy7Oy9o,142208,5521,420,PT1M16S
209,v8NL9Jrnmqs,80159,1166,189,PT4M48S
210,ysL15lS4BXs,91784,1778,161,PT3M39S
211,u61yLuxjtHU,671300,15349,626,PT4M47S
212,niYRy14J6Qg,519219,9021,464,PT8M12S
213,LryIQe5QsXU,133942,2613,196,PT6M24S
214,rNEu1Ytla6w,2063378,47147,2282,PT10M42S
215,WLGZHuEidPo,171615,4879,316,PT1M8S
216,26Fy2flgd-w,108320,1809,297,PT6M12S
217,e9HbtGj8tcA,1445240,40078,2769,PT7M45S
218,ou_gCU5hbvI,548100,28952,528,PT3M45S
219,SceOhXNjrE4,788450,14789,2825,PT6M56S
220,AbMCdSjz5KM,540776,10611,1212,PT3M54S
221,8FeNkt5hZ5I,733610,13566,1716,PT5M39S
222,LC_h_ILrMSo,1914861,48016,3494,PT10M21S
223,QnVSjEuR2f0,175550,5343,297,PT1M11S
224,aauH2b8S6uI,19400,585,90,PT4M26S
225,3hr34agwy3c,40147,771,255,PT3M35S
226,_qrdXbFDvBg,216651,3350,332,PT2M39S
227,rpUL3RNjp6s,288236,5781,313,PT6M51S
228,m0GucXerWIE,207399,4041,157,PT3M39S
229,ISHQ1ZvTIXI,295652,5675,322,PT9M51S
230,6e0NHJ_LEl0,699993,13644,408,PT6M45S
231,lj1VRTIC_R8,1662483,31766,1834,PT10M23S
232,Y95Q2aKXaF0,80094,1410,38,PT59S
233,zWVY2Ud2sC8,110394,2460,212,PT7M39S
234,loRVkh44eEA,368545,4351,251,PT7M26S
235,d9tHLbObtDA,151039,3779,184,PT5M2S
236,4KTBDu5Alfg,296411,3803,184,PT6M30S
237,fbHinwzeN30,2151787,43254,2738,PT11M15S
238,Pfv2ulrWAW8,104224,3521,139,PT1M9S
239,yjYxlQRp37c,479602,7193,248,PT4M30S
240,jMxiLHENDFI,194887,3066,246,PT5M4S
241,hD6jA_9touc,619754,11565,792,PT5M38S
242,PQ7ZcDzksi0,829343,10288,343,PT6M7S
243,9c2NHVf2GBc,995660,13604,749,PT5M20S
244,4Srd8oC7M90,1747375,38110,3403,PT12M3S
245,7_tyUTJ4rgk,131925,4420,325,PT1M6S
246,L7onJEZ4kvg,45609,811,225,PT2M3S
247,fLVa_syw-ls,18850,309,38,PT4M7S
248,x8npvgyeJpc,581200,12524,562,PT5M49S
249,dy-b7jOWHqU,605846,9209,781,PT7M52S
250,432iJx2oRsY,292306,5208,400,PT4M26S
251,0Edz6K69sNs,290856,6639,380,PT7M33S
252,Lie0MCxCXRg,2230516,45452,2582,PT11M54S
253,4DHSchUmifc,103101,2524,135,PT1M21S
254,gqLuvNHECgw,334118,5807,275,PT6M44S
255,YrX0PX1xxgA,182029,3392,194,PT3M51S
256,HPhIM06rxzQ,238825,6273,198,PT7M57S
257,7LrVhnHrnnQ,191292,2747,118,PT7M33S
258,-oBBeAToJK8,1766941,42207,2375,PT12M6S
259,BmcCMrZrJ6k,98499,2610,95,PT1M12S
260,XpTNrBr7zwE,467269,9734,713,PT5M40S
261,X2KswNah1uI,674752,14511,484,PT6M27S
262,SFKxMzw8jxU,91028,3847,156,PT4M3S
263,Hz0eBCxHO7c,1103027,23552,2310,PT7M19S
264,EXh6oAJH2Zg,592852,12511,784,PT3M54S
265,koPmZ0VSUk8,2620101,66278,5559,PT10M49S
266,4f0QSQXU8vE,136026,4862,259,PT1M28S
267,q7-IkdUEAUM,314442,4325,254,PT5M31S
268,RleAAeqiY08,351472,4585,186,PT7M9S
269,CSu8pqPG4rA,349718,5577,1006,PT6M17S
270,A4DnZuHlpI0,286806,4502,205,PT5M31S
271,2MVoDgpLADA,245853,4135,313,PT3M25S
272,1IMoGo5fs1Y,1653338,39559,2376,PT10M34S
273,PjZ-sAvD-eE,209367,4810,167,PT1M2S
274,SETvF3Q90Zg,85222,2211,188,PT3M36S
275,KUF2DNq4rzc,85079,1525,63,PT2M24S
276,I3gghOuHDvk,33165,1164,102,PT4M16S
277,YBy73IFsKrQ,818761,16660,1209,PT4M44S
278,XukhTVdFuXY,419345,8954,581,PT7M51S
279,U3pU8BM_VNc,422637,9299,867,PT5M32S
280,FRmgwiVczkM,386128,7586,485,PT6M49S
281,SCrotZJ7SfA,80516,2126,108,PT1M26S
282,PfGhWHCKtlc,1919173,42650,1926,PT10M26S
283,0AV1xtvCFMc,280659,8382,347,PT1M13S
284,fWiTAixGMI4,131775,2005,179,PT3M18S
285,ykobeSAS20c,407003,8112,810,PT5M2S
286,r7sDh50LBNQ,465208,11338,994,PT5M27S
287,Yjmo-8jFfJU,237192,4906,375,PT2M57S
288,Ri1aHO9GYxo,1260771,34821,2433,PT6M33S
289,BjUQLSVz-zY,428128,8899,659,PT6M30S
290,rXJIgW1niZA,2243065,47577,2372,PT11M38S
291,2Cr9eUQoLc0,147970,3694,222,PT1M36S
292,JUEnIGCGzE8,102031,4243,156,PT3M14S
293,zA0VEa2uQj0,256777,3886,319,PT6M39S
294,v87KSDOxdy0,204773,2946,128,PT6M13S
295,__pn0qoPeKs,139091,2609,124,PT5M13S
296,0mQnn9mBjrs,290589,7901,515,PT7M39S
297,Y7UD_Ui0l1o,1462173,34402,1620,PT8M45S
298,8s6s3ODSoJ0,295769,7542,160,PT2M11S
299,oe2ws0Xuprk,91579,2144,144,PT9M16S
300,gEi8PlgIdFk,245418,4765,254,PT8M25S
301,PT2C6aGock8,140224,2890,143,PT4M31S
302,0Qj2Owhfr8M,642465,12950,446,PT4M53S
303,u4q79DH7zsU,2322494,50527,3510,PT10M35S
304,YjSJdc3m_dw,138382,4819,218,PT57S
305,SkJECHMolmY,55453,1103,28,PT2M28S
306,fShQU7HWcwQ,457174,10968,1227,PT6M11S
307,_7-i2CAwpEY,418410,6609,368,PT9M57S
308,SPaBrZwnweg,756989,16996,793,PT5M44S
309,I6T08lB_7nY,154848,4257,272,PT4M21S
310,C__x_wuG8s8,2218796,62449,4627,PT11M21S
311,TZ6WcZc-VeM,177715,5840,349,PT1M10S
312,F70xesR3hYE,12548,460,47,PT3M31S
313,P7nSD_PK38E,255728,4793,401,PT6M44S
314,6LoOgSTWR7c,386016,6850,381,PT6M33S
315,4-2CfqA9P0Y,1025246,15724,1403,PT15M57S
316,30Dhz2aXFR8,274359,6102,538,PT4M17S
317,zGFesypJLc4,1750164,38708,2197,PT8M16S
318,wQF1eUuZpG8,151406,3177,178,PT56S
319,vY33LJn9r2s,394850,5100,213,PT7M33S
320,_sZKCX_KsnU,350626,4997,245,PT6M55S
321,NYHl0oq7o8A,456124,10056,252,PT5M26S
322,MpdUN1gidCc,250532,2797,107,PT3M26S
323,gq1O_X0IOMg,1871970,42708,2255,PT11M49S
324,3bbObqQlOM4,170995,5234,687,PT1M8S
325,zS4wksSSrpw,183655,2875,71,PT4M10S
326,xY6WiPzfOCI,242613,3562,154,PT6M22S
327,ZshSVGxBU9w,29156,808,44,PT3M48S
328,Y18qFcpAX1g,606256,13830,762,PT6M23S
329,6KoCFirOFX8,180120,2987,118,PT4M54S
330,CGzXeDp7ax4,2094365,50331,2324,PT12M42S
331,iEYll4yrtdQ,128161,4436,199,PT1M15S
332,fBtjfEVaojM,27271,627,71,PT3M48S
333,_AyYn2g1ndY,91419,2237,84,PT3M57S
334,6UsIcDivsls,723517,29444,1769,PT3M3S
335,fDvAfeIxUDM,483570,2717,1888,PT7M7S
336,pGC2SAGPneY,124127,1814,901,PT5M3S
337,GpjUWsYOi_k,505081,11791,637,PT4M59S
338,GTLSjn3yuPQ,179324,2993,186,PT10M11S
339,BpOb7L9ZpgE,1500905,40722,3666,PT11M17S
340,cD3xbgqa03s,264753,6811,502,PT1M20S
341,EnR_jh-Z9VQ,116486,1934,98,PT2M19S
342,f8g_a0RJ5Lc,71885,9211,1049,PT4M
343,cVFSh1YDscg,396677,8694,348,PT5M42S
344,LJYEL_UofHw,836057,17250,648,PT5M44S
345,7uCwIR0AFj8,55633,849,90,PT3M58S
346,JCBCpKcv18U,1277399,24686,1243,PT16M53S
347,od76uFNrGUU,2443215,47396,2493,PT10M24S
348,4LX-HrZovRE,121136,4039,208,PT1M23S
349,zYtrFNPBTXk,599418,16329,2386,PT9M41S
350,EKuz9EqyO8o,231758,6559,592,PT4M36S
351,CTXBiP55xw8,218343,6098,897,PT3M2S
352,2fj23SBjYOs,284577,5668,348,PT8M10S
353,BDKTfKn0Y80,2207287,45779,2397,PT12M39S
354,Y3Gksh4RAXQ,113910,3749,181,PT1M6S
355,ky1JyJVpzzA,407762,8093,549,PT7M12S
356,WnswXWNlmHg,173598,3018,132,PT8M32S
357,D_TbHPLVoFU,891174,17451,652,PT6M36S
358,1Iimsn-lx68,217922,6354,453,PT4M35S
359,YegTcQHnM6U,2229343,49181,4187,PT11M20S
360,POe7xbEuB0w,141162,4262,169,PT37S
361,jzFucSb80OI,376564,6632,421,PT7M30S
362,jDBjxdoKFLs,226980,4218,179,PT5M15S
363,iNwP59Wid2w,226012,5805,482,PT3M25S
364,dD8OSmPWU8s,53617,1207,124,PT3M51S
365,UDYw_8Aplu0,634988,13214,840,PT7M34S
366,bEiyyHKFUp0,2379859,51595,3511,PT10M59S
367,6YGeVMAYgmQ,219539,5978,317,PT1M1S
368,RE337-_EmQo,203252,7658,363,PT5M38S
369,O7RfN1XfiaU,156933,3339,132,PT2M38S
370,kNiel8JjgMI,20185,486,29,PT3M59S
371,hGTAQB6H7Es,1118366,23112,1230,PT7M19S
372,w-WbnsY_zFw,233865,4476,175,PT7M56S
373,rQz5XqucOL4,190422,3494,156,PT6M21S
374,LyHYtnc2rT0,268962,4387,174,PT6M12S
375,xaeFMBrE2xE,2627370,56829,3813,PT10M32S
376,nzuJdFv4-Wo,149698,4788,236,PT56S
377,AGXCcMPE9ds,539304,8191,854,PT4M38S
378,UZHnbH9cj40,88751,1973,120,PT4M6S
379,ul2HXvQRL3M,608390,13287,484,PT6M23S
380,9rW0Jf7o6tk,823705,11704,959,PT6M40S
381,8stCgYuxxCY,386507,7316,263,PT5M6S
382,zzWW5Mvg_cI,2434207,54855,3367,PT12M5S
383,-IdvgT3QU5g,146461,4362,151,PT29S
384,kWHZRxaNWtE,431751,15702,535,PT3M50S
385,bxkUm_Zzw_w,994269,18148,638,PT7M30S
386,O0N5NH9Lnj8,952215,16962,442,PT5M37S
387,NH0jG9sE3Fw,1145567,27792,876,PT7M56S
388,K0qgR4ly4zg,492602,9839,201,PT3M59S
389,6Qzs8nKPoxI,2688593,71251,4459,PT9M48S
390,bUdDdLrp1P4,393314,9172,1008,PT53S
391,QEvZYR9u_so,276333,7001,281,PT4M28S
392,sq3frhF0wPg,1144599,29460,1255,PT5M29S
393,qaFR926kVE4,71448,2452,170,PT4M23S
394,pSn3RV-ziMM,341608,8591,380,PT3M55S
395,H5oMzRDFF-U,686368,14824,1281,PT5M34S
396,5Qon72VKH30,673421,13761,1138,PT7M20S
397,17_qQHNiGa4,2702556,74068,4698,PT11M7S
398,gV-US3k20pA,504185,15305,600,PT1M53S
399,NJqOHi9OCc4,140117,2281,473,PT1M49S
400,oJIuSFi0HBk,419894,7256,879,PT4M48S
401,gspb4DSvgm8,253891,6357,706,PT10M6S
402,nPzcgzvk9UQ,505819,6292,341,PT8M1S
403,iz-OR46ZqLo,64006,1332,97,PT4M16S
404,cyXr1vrT8G0,769934,14618,1183,PT8M18S
405,CSE9mT3ljAE,1382059,22645,1157,PT4M45S
406,SnhzYRB-asE,135229,2102,50,PT1M55S
407,LU5svrK4yAM,3575865,61918,5070,PT11M24S
408,V21M5h_PeOA,493134,11444,833,PT59S
409,OyxJec0PShw,84865,2115,123,PT3M9S
410,RC7j-6xQ2OM,45068,807,95,PT2M53S
411,KHwTmN7fV-4,39043,1757,194,PT5M30S
412,C5OWFyvtVGw,322466,6505,349,PT4M54S
413,b8Q0ZuV_Iz4,120784,2632,728,PT11M13S
414,Sd_IBKGIhAw,40431,1154,97,PT4M2S
415,3LY1oXr-LUM,83283,1601,119,PT3M51S
416,Apc8x1tWGzw,28629,598,44,PT3M47S
417,xsKlLQj0Whs,164135,2403,193,PT4M36S
418,_2MtLV-YIpg,363307,4627,416,PT7M13S
419,Q3yO36exoGw,1022277,17864,1480,PT6M11S
420,6tsRJXUeBVg,229835,5099,450,PT8M40S
421,Qggni-EHvJk,241221,5570,240,PT6M4S
422,zu9pPYr4cPo,2345081,42969,2497,PT10M59S
423,QMXV_avcLGA,186408,4312,377,PT1M42S
424,d0joHrKcKng,174688,4309,134,PT5M51S
425,GZ1PyLUYjkY,406800,7064,324,PT6M15S
426,FHvHqhyoSAA,741844,16039,1072,PT5M19S
427,7s94xSSrR78,96130,1897,185,PT7M53S
428,JmvIHFCrzF0,248962,5472,401,PT6M23S
429,duKkHLm2QO0,2434629,52803,3508,PT11M56S
430,ye5N6GBnjL0,137884,4528,459,PT1M11S
431,wEg_8mpp_Kk,111801,2419,307,PT4M7S
432,lQN5c1_WBp8,845255,16873,751,PT5M56S
433,eG4CaKZkdF0,139979,2274,89,PT4M33S
434,WRSLMnRQhOs,188678,2947,160,PT6M33S
435,50RkE4nEzPk,432369,4649,319,PT7M38S
436,8v8YgCasPt4,2185410,42707,3052,PT9M9S
437,qx6ORpg5iG0,141729,2769,137,PT1M30S
438,OoiErfUdehY,91365,1422,57,PT4M33S
439,mamlyFaAYCc,125372,2962,231,PT9M10S
440,5farkFbnKtc,179717,2493,104,PT6M
441,VYbm0eyeDOo,1740172,33329,2127,PT6M45S
442,_0f2II1Kty0,1726269,33851,2710,PT11M7S
443,i794P9uyXJQ,301325,9097,771,PT1M43S
444,JE0uBmOIb3o,58173,615,16,PT2M11S
445,WJsvUrsDoSk,21586,390,30,PT4M14S
446,mNWSf9VPRu0,80233,1573,150,PT4M10S
447,wjniCgLKZVw,444430,10265,463,PT5M13S
448,gOIkw7SyWus,856575,15542,1874,PT9M10S
449,Fbkds3zI9M8,233610,5800,323,PT2M3S
450,3Ezg0KfOREw,420433,5907,399,PT5M42S
451,JvDvOTz1WII,2220286,40969,2293,PT11M36S
452,ukPJ-cPKwtg,359853,8846,602,PT1M13S
453,PU0FNAH1jxQ,64584,1414,124,PT3M2S
454,Q5aOCCCkLYo,160561,3794,170,PT2M59S
455,87NOmKjWqWk,503710,8539,500,PT7M41S
456,0t-AxC0Obh8,729987,15146,1041,PT7M6S
457,8WR2XSBEtJo,2271614,44717,2556,PT10M36S
458,R5DXUzdQgP0,360223,7650,734,PT11M58S
459,Y0NjNKxFpqo,124498,3995,289,PT1M17S
460,omMxcRSaA40,70170,1309,33,PT1M29S
461,g6qq6lu_pHI,936138,28470,3363,PT8M31S
462,TojoDXDzAxA,175612,2544,203,PT3M35S
463,DSjferdRkis,128470,4437,204,PT1M34S
464,A74ncBZ54xw,235893,3523,267,PT6M42S
465,2zVMDSp4-Ik,254489,4330,287,PT4M54S
466,w9ka_fiJ8lE,1654885,33084,3069,PT10M36S
467,LaqGC_8RfsY,233710,5146,1453,PT1M14S
468,htsnZzFA9nQ,905727,17160,824,PT6M38S
469,e7x6J7DGGRY,463799,6215,401,PT7M37S
470,_TyABI9o4GM,290364,3233,238,PT7M59S
471,F4-oe8KwMsU,237254,4833,224,PT4M57S
472,Ym7Poc2kImI,2237528,42466,2859,PT10M40S
473,XHsuv2VaJ8U,103248,1941,107,PT1M6S
474,3HntTr-empY,70141,868,25,PT2M15S
475,y5TZf29aakg,63554,1934,167,PT5M34S
476,ktJZ4vE65Pg,20787,740,50,PT4M4S
477,Ld1151WZBoI,122739,3641,355,PT5M22S
478,qAbuL_NRbzE,383729,12611,682,PT3M21S
479,5AC5h4zKU4o,1266259,29767,3867,PT8M47S
480,0x5XkzlEvMI,503673,7151,756,PT6M54S
481,0u6rnwtTqjQ,308968,6903,576,PT7M2S
482,t1DLRteWIe8,2473181,50274,4302,PT9M21S
